seed,heldout_scale,epoch,train_loss,val_accuracy
42,2.0,1,0.4930103764704922,1.0
42,2.0,2,0.0036451586724176783,1.0
42,2.0,3,0.0005564071428071817,1.0
42,2.0,4,0.00043153862540801875,1.0
42,2.0,5,0.00028884207388139605,1.0
42,3.0,1,0.42542829424800244,1.0
42,3.0,2,0.001801039545920075,1.0
42,3.0,3,0.0005215559503994882,1.0
42,3.0,4,0.0004096379069618278,1.0
42,3.0,5,0.0003050539344258141,1.0
42,4.0,1,0.48613015321247716,1.0
42,4.0,2,0.003441162535797476,1.0
42,4.0,3,0.0005973050557419329,1.0
42,4.0,4,0.0003819318406064721,1.0
42,4.0,5,0.00025581364153528255,1.0
42,6.0,1,0.5508722928352654,1.0
42,6.0,2,0.004269965684644002,1.0
42,6.0,3,0.0006295461053549148,1.0
42,6.0,4,0.00040532487122725477,1.0
42,6.0,5,0.00026353065742809763,1.0
42,8.0,1,0.5362903053379234,1.0
42,8.0,2,0.006489764943527167,1.0
42,8.0,3,0.0008554135480046491,1.0
42,8.0,4,0.0005753111780744375,1.0
42,8.0,5,0.0004479774776401053,1.0
42,12.0,1,0.47927426787860256,1.0
42,12.0,2,0.003512347935397616,1.0
42,12.0,3,0.0006316669314401224,1.0
42,12.0,4,0.0004342014482758446,1.0
42,12.0,5,0.00030448015519034336,1.0
42,16.0,1,0.4233525200500427,1.0
42,16.0,2,0.0023509531730429873,1.0
42,16.0,3,0.0005318687882904402,1.0
42,16.0,4,0.0003005758035749964,1.0
42,16.0,5,0.00024571686384768006,1.0
42,24.0,1,0.40965855592752204,1.0
42,24.0,2,0.0020304933354696806,1.0
42,24.0,3,0.0005623476651688928,1.0
42,24.0,4,0.0002835744838675429,1.0
42,24.0,5,0.00020150867160683607,1.0
