model,seed,heldout_scale,epoch,train_loss,val_accuracy
STN-CNN,42,2.0,1,1.460925817489624,0.16666666666666666
STN-CNN,42,2.0,2,0.9523260488229639,0.3994708994708995
STN-CNN,42,2.0,3,0.6582320630550385,0.8015873015873016
STN-CNN,42,2.0,4,0.4701703716726864,0.873015873015873
STN-CNN,42,2.0,5,0.34614892040981965,0.9523809523809523
STN-CNN,42,2.0,6,0.25275058606091666,0.9656084656084656
STN-CNN,42,2.0,7,0.1807385389419163,0.9708994708994709
STN-CNN,42,2.0,8,0.1441983400898821,0.9629629629629629
STN-CNN,42,3.0,1,1.4838906666811775,0.21164021164021163
STN-CNN,42,3.0,2,0.910817521459916,0.7116402116402116
STN-CNN,42,3.0,3,0.6243638536509346,0.9074074074074074
STN-CNN,42,3.0,4,0.4660220391610089,0.917989417989418
STN-CNN,42,3.0,5,0.33989910167806286,0.9735449735449735
STN-CNN,42,3.0,6,0.25474359533366037,0.9894179894179894
STN-CNN,42,3.0,7,0.1801274769446429,0.9894179894179894
STN-CNN,42,3.0,8,0.12880654019467971,1.0
STN-CNN,42,4.0,1,1.41953523720012,0.3306878306878307
STN-CNN,42,4.0,2,0.8850559872739455,0.544973544973545
STN-CNN,42,4.0,3,0.6111700955559226,0.7883597883597884
STN-CNN,42,4.0,4,0.4732932185425478,0.8915343915343915
STN-CNN,42,4.0,5,0.34519704650430116,0.9259259259259259
STN-CNN,42,4.0,6,0.2451500778689104,0.9285714285714286
STN-CNN,42,4.0,7,0.17536360595156164,0.9365079365079365
STN-CNN,42,4.0,8,0.14605053382761338,0.9603174603174603
STN-CNN,42,6.0,1,1.4247220263761633,0.2804232804232804
STN-CNN,42,6.0,2,0.8605043572538039,0.6798941798941799
STN-CNN,42,6.0,3,0.567936476539163,0.9047619047619048
STN-CNN,42,6.0,4,0.3934987871085896,0.9391534391534392
STN-CNN,42,6.0,5,0.2855402038377874,0.9497354497354498
STN-CNN,42,6.0,6,0.2212893761256162,0.9629629629629629
STN-CNN,42,6.0,7,0.16570102379602544,0.9708994708994709
STN-CNN,42,6.0,8,0.1255121423917658,0.9682539682539683
STN-CNN,42,8.0,1,1.4035837019191069,0.3201058201058201
STN-CNN,42,8.0,2,0.8543878653470207,0.5846560846560847
STN-CNN,42,8.0,3,0.5925644075169283,0.8201058201058201
STN-CNN,42,8.0,4,0.427597982041976,0.9312169312169312
STN-CNN,42,8.0,5,0.31299782062278075,0.9682539682539683
STN-CNN,42,8.0,6,0.2270358713234172,0.9788359788359788
STN-CNN,42,8.0,7,0.1744154525153777,0.9656084656084656
STN-CNN,42,8.0,8,0.13379734710735433,0.9576719576719577
STN-CNN,42,12.0,1,1.4756991863250732,0.2275132275132275
STN-CNN,42,12.0,2,0.9501019681201262,0.5343915343915344
STN-CNN,42,12.0,3,0.6541572248234468,0.8095238095238095
STN-CNN,42,12.0,4,0.4762684299665339,0.8597883597883598
STN-CNN,42,12.0,5,0.37144476701231566,0.91005291005291
STN-CNN,42,12.0,6,0.2857893591417986,0.9285714285714286
STN-CNN,42,12.0,7,0.2214267315233455,0.955026455026455
STN-CNN,42,12.0,8,0.1766627772766001,0.9629629629629629
STN-CNN,42,16.0,1,1.4435345144832836,0.21164021164021163
STN-CNN,42,16.0,2,0.8689948741127463,0.6111111111111112
STN-CNN,42,16.0,3,0.6148353078786064,0.8174603174603174
STN-CNN,42,16.0,4,0.4571782350540161,0.8915343915343915
STN-CNN,42,16.0,5,0.34588445284787345,0.9153439153439153
STN-CNN,42,16.0,6,0.2505205221035901,0.9523809523809523
STN-CNN,42,16.0,7,0.198175191441003,0.9603174603174603
STN-CNN,42,16.0,8,0.152478785637547,0.9656084656084656
STN-CNN,42,24.0,1,1.4348040678921867,0.16666666666666666
STN-CNN,42,24.0,2,0.8624221542302299,0.2777777777777778
STN-CNN,42,24.0,3,0.6083141495199764,0.8756613756613757
STN-CNN,42,24.0,4,0.4512376680093653,0.9047619047619048
STN-CNN,42,24.0,5,0.35085370084818673,0.917989417989418
STN-CNN,42,24.0,6,0.24031182159395778,0.9497354497354498
STN-CNN,42,24.0,7,0.1723264876533957,0.9629629629629629
STN-CNN,42,24.0,8,0.1383234836599406,0.9735449735449735
